dataset,work_id,field,value_stage1,value_stage1_5,selected_canonical_value,reason,confidence
expenditure_event,WS/MP378/2023-2024/3678,payment_status_or_amount,,,7800.0,"Same work_id + expenditure_date + vendor_name but differing payment_status/disbursed_amount across event rows; could be two genuinely distinct payments or a corrected re-record - both retained, flagged for review.",REVIEW_REQUIRED
expenditure_event,WS/MP378/2023-2024/3678,payment_status_or_amount,,,79150.0,"Same work_id + expenditure_date + vendor_name but differing payment_status/disbursed_amount across event rows; could be two genuinely distinct payments or a corrected re-record - both retained, flagged for review.",REVIEW_REQUIRED
expenditure_event,WS/MP476/2024-2025/160634,payment_status_or_amount,,,44192.0,"Same work_id + expenditure_date + vendor_name but differing payment_status/disbursed_amount across event rows; could be two genuinely distinct payments or a corrected re-record - both retained, flagged for review.",REVIEW_REQUIRED
expenditure_event,WS/MP476/2024-2025/160634,payment_status_or_amount,,,42794.0,"Same work_id + expenditure_date + vendor_name but differing payment_status/disbursed_amount across event rows; could be two genuinely distinct payments or a corrected re-record - both retained, flagged for review.",REVIEW_REQUIRED
expenditure_event,WS/MP539/2024-2025/54144,payment_status_or_amount,,,164654.0,"Same work_id + expenditure_date + vendor_name but differing payment_status/disbursed_amount across event rows; could be two genuinely distinct payments or a corrected re-record - both retained, flagged for review.",REVIEW_REQUIRED
expenditure_event,WS/MP539/2024-2025/54144,payment_status_or_amount,,,247500.0,"Same work_id + expenditure_date + vendor_name but differing payment_status/disbursed_amount across event rows; could be two genuinely distinct payments or a corrected re-record - both retained, flagged for review.",REVIEW_REQUIRED
expenditure_event,WS/MP476/2025-2026/160646,payment_status_or_amount,,,232140.0,"Same work_id + expenditure_date + vendor_name but differing payment_status/disbursed_amount across event rows; could be two genuinely distinct payments or a corrected re-record - both retained, flagged for review.",REVIEW_REQUIRED
expenditure_event,WS/MP476/2025-2026/160646,payment_status_or_amount,,,139894.0,"Same work_id + expenditure_date + vendor_name but differing payment_status/disbursed_amount across event rows; could be two genuinely distinct payments or a corrected re-record - both retained, flagged for review.",REVIEW_REQUIRED
expenditure_event,WS/MP719/2024-2025/30534,payment_status_or_amount,,,103229.0,"Same work_id + expenditure_date + vendor_name but differing payment_status/disbursed_amount across event rows; could be two genuinely distinct payments or a corrected re-record - both retained, flagged for review.",REVIEW_REQUIRED
expenditure_event,WS/MP719/2024-2025/30534,payment_status_or_amount,,,52590.0,"Same work_id + expenditure_date + vendor_name but differing payment_status/disbursed_amount across event rows; could be two genuinely distinct payments or a corrected re-record - both retained, flagged for review.",REVIEW_REQUIRED
expenditure_event,WS/MP719/2024-2025/30534,payment_status_or_amount,,,29375.0,"Same work_id + expenditure_date + vendor_name but differing payment_status/disbursed_amount across event rows; could be two genuinely distinct payments or a corrected re-record - both retained, flagged for review.",REVIEW_REQUIRED
expenditure_event,WS/MP539/2024-2025/101873,payment_status_or_amount,,,585873.0,"Same work_id + expenditure_date + vendor_name but differing payment_status/disbursed_amount across event rows; could be two genuinely distinct payments or a corrected re-record - both retained, flagged for review.",REVIEW_REQUIRED
expenditure_event,WS/MP539/2024-2025/101873,payment_status_or_amount,,,110240.0,"Same work_id + expenditure_date + vendor_name but differing payment_status/disbursed_amount across event rows; could be two genuinely distinct payments or a corrected re-record - both retained, flagged for review.",REVIEW_REQUIRED
expenditure_event,WS/MP539/2024-2025/101873,payment_status_or_amount,,,72900.0,"Same work_id + expenditure_date + vendor_name but differing payment_status/disbursed_amount across event rows; could be two genuinely distinct payments or a corrected re-record - both retained, flagged for review.",REVIEW_REQUIRED
expenditure_event,WS/MP539/2024-2025/101873,payment_status_or_amount,,,162750.0,"Same work_id + expenditure_date + vendor_name but differing payment_status/disbursed_amount across event rows; could be two genuinely distinct payments or a corrected re-record - both retained, flagged for review.",REVIEW_REQUIRED
expenditure_event,WS/MP719/2024-2025/30534,payment_status_or_amount,,,48626.0,"Same work_id + expenditure_date + vendor_name but differing payment_status/disbursed_amount across event rows; could be two genuinely distinct payments or a corrected re-record - both retained, flagged for review.",REVIEW_REQUIRED
expenditure_event,WS/MP717/2024-2025/129932,payment_status_or_amount,,,500.0,"Same work_id + expenditure_date + vendor_name but differing payment_status/disbursed_amount across event rows; could be two genuinely distinct payments or a corrected re-record - both retained, flagged for review.",REVIEW_REQUIRED
expenditure_event,WS/MP717/2024-2025/129932,payment_status_or_amount,,,97907.0,"Same work_id + expenditure_date + vendor_name but differing payment_status/disbursed_amount across event rows; could be two genuinely distinct payments or a corrected re-record - both retained, flagged for review.",REVIEW_REQUIRED
expenditure_event,WS/MP717/2023-2024/123133,payment_status_or_amount,,,2590.0,"Same work_id + expenditure_date + vendor_name but differing payment_status/disbursed_amount across event rows; could be two genuinely distinct payments or a corrected re-record - both retained, flagged for review.",REVIEW_REQUIRED
expenditure_event,WS/MP717/2023-2024/123133,payment_status_or_amount,,,3108.0,"Same work_id + expenditure_date + vendor_name but differing payment_status/disbursed_amount across event rows; could be two genuinely distinct payments or a corrected re-record - both retained, flagged for review.",REVIEW_REQUIRED
expenditure_event,WS/MP717/2023-2024/123133,payment_status_or_amount,,,3367.0,"Same work_id + expenditure_date + vendor_name but differing payment_status/disbursed_amount across event rows; could be two genuinely distinct payments or a corrected re-record - both retained, flagged for review.",REVIEW_REQUIRED
